Text Changed,Title & Definition,Cross References,CIP Code,Action,Moved To/Report Under,Moved From
"","Pulmonary Disease. A residency training program that prepares physicians in pulmonary physiology and the treatment of lung diseases, pulmonary malignancies, related vascular diseases, respiratory disorders, diagnostic and therapeutic procedures, and pulmonary pathology.  Requires prior completion of a program in internal medicine. This CIP code is not valid for IPEDS reporting.","",="60.0571","Moved to","",""
"","Pulmonary Disease. A residency training program that prepares physicians in pulmonary physiology and the treatment of lung diseases, pulmonary malignancies, related vascular diseases, respiratory disorders, diagnostic and therapeutic procedures, and pulmonary pathology.  Requires prior completion of a program in internal medicine. This CIP code is not valid for IPEDS reporting.","",="60.0257","Moved from","",""
"","Punjabi Language and Literature. A program that focuses on the Punjabi language (Punjabi) and related dialects. Includes instruction in philology; dialects; and applications in business, science/technology, and other settings.","",="16.0705","No substantive changes","",""
"","Purchasing, Procurement/Acquisitions and Contracts Management. A program that prepares individuals to manage and/or administer the processes by which a firm or organization contracts for goods and services to support its operations, as well as contracts it to sell to other firms or organizations.  Includes instruction in contract law, negotiations, buying procedures, government contracting, cost and price analysis, vendor relations, contract administration, auditing and inspection, relations with other firm departments, and applications to special areas such as high-technology systems, international purchasing, and construction.","",="52.0202","No substantive changes","",""
"","Quality Control and Safety Technologies/Technicians, Other. Any instructional program in quality control and safety technologies not listed above.","",="15.0799","No substantive changes","",""
"","Quality Control and Safety Technologies/Technicians. Instructional content for this group of programs is defined in codes 15.0701 - 15.0799.","",="15.07","No substantive changes","",""
"","Quality Control Technology/Technician. A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in maintaining consistent manufacturing and construction standards.  Includes instruction in quality control systems management principles, technical standards applicable to specific engineering and manufacturing projects, testing procedures, inspection procedures, related instrumentation and equipment operation and maintenance, and report preparation.","",="15.0702","No substantive changes","",""
"","Rabbinical Studies (M.H.L./Rav) A program that prepares individuals for ordination as Rabbis. Includes instruction in Talmud, Halacha, Liturgy and Rituals, Rabbinical Thought, Jewish Ethics, Jewish Education, Pastoral Counseling and Homiletics.","",="39.0605","No substantive changes","",""
"","Radar Communications and Systems Technology. A program that focuses on the principles, technology and maintenance of air, sea and ground-based radar systems.  Includes instruction in electronic principles and digital techniques, transistors and solid-state component theory, radar systems; maintenance technology, data processing systems, wiring and circuit schematics, maintenance management, safety procedures, and applications to specific systems and services.","",="29.0409","New","",""
"","Radiation Biology/Radiobiology. A program that focuses on the  effects of radiation on organisms and biological systems.  Includes instruction in particle physics, ionization, and biophysics of radiation perturbations, cellular and organismic repair systems, genetic and pathological effects of radiation, and the measurement of radiation dosages.","",="26.0209","No substantive changes","",""
"","Radiation Oncology. A residency training program that prepares physicians in the use of ionizing radiation to treat patients with cancer and other diseases. Includes instruction in treatment planning, instrument design and operation, radiation physics and radiobiology. One of two general certificates in the area of radiology. This CIP code is not valid for IPEDS reporting.","",="60.0430","Moved to","",""
"","Radiation Oncology. A residency training program that prepares physicians in the use of ionizing radiation to treat patients with cancer and other diseases.  Includes instruction in treatment planning, instrument design and operation, radiation physics and radiobiology. This CIP code is not valid for IPEDS reporting.","",="60.0258","Moved from","",""
"","Radiation Protection/Health Physics Technician. A program that prepares individuals, under the supervision of health physicists, occupational safety and health specialists, and public health officials, to monitor and control radiation exposure and implement preventive measures in health care, work, and natural environments.  Includes instruction in radiation physics, environmental radioactivity, radiological instrumentation, electronics of radiation detection equipment, radioactive waste management and control, safety and handling procedures, decontamination procedures, radioactivity testing and analysis, and communications skills.","",="51.0916","No substantive changes","",""
"","Radio and Television Broadcasting Technology/Technician. A program that prepares individuals to apply technical knowledge and skills to the production of radio and television programs, and related operations, under the supervision of broadcast and studio managers, directors, editors, and producers.  Includes instruction in sound, lighting, and camera operation and maintenance; power and feed control; studio operations; production preparation; broadcast engineering; related computer applications; and specialized applications such as news, entertainment, live talk, sports, commercials, and taping.","",="10.0202","No substantive changes","",""
"","Radio and Television. A program that focuses on the theories, methods, and techniques used to plan, produce, and distribute audio and video programs and messages, and that prepares individuals to function as staff, producers, directors, and managers of radio and television shows and media organizations.  Includes instruction in media aesthetics; planning, scheduling, and production; writing and editing; performing and directing; personnel and facilities management; marketing and distribution; media regulations, law, and policy; and principles of broadcast technology.","",="09.0701","No substantive changes","",""
"","Radio, Television, and Digital Communication, Other. Any instructional program in radio, television, and digital communications not listed above.","",="09.0799","No substantive changes","",""
"","Radio, Television, and Digital Communication. Instructional content for this group of programs is defined in codes 09.0701 - 09.0799.","",="09.07","No substantive changes","",""
"","Radioisotopic Pathology. A residency training program that prepares physicians in the use of radionuclides in the study of body fluids, excreta, or tissues quantified outside the body.  Includes instruction in laboratory management and safety, quality control, instrumentation, isotope storage and in vitro analyses.  Require prior completion of a program in pathology. This CIP code is not valid for IPEDS reporting.","",="60.0572","Moved to","",""
"","Radioisotopic Pathology. A residency training program that prepares physicians in the use of radionuclides in the study of body fluids, excreta, or tissues quantified outside the body.  Includes instruction in laboratory management and safety, quality control, instrumentation, isotope storage and in vitro analyses.  Require prior completion of a program in pathology. This CIP code is not valid for IPEDS reporting.","",="60.0259","Moved from","",""
"","Radiologic Physics Residency Program. A residency training program that prepares physicians in that branch of physics which includes the physical aspects of radiation therapy, radiologic diagnosis, and/or nuclear medicine. Radiologic physicists must specialize in at least one of the three subspecialty areas: therapeutic radiological physics, diagnostic radiological physics, and/or medical nuclear physics. This CIP code is not valid for IPEDS reporting.","",="60.0431","New","",""
"","Radiologic Technology/Science - Radiographer. A program that prepares individuals, under the supervision of physicians, to provide medical imaging services to patients and attending health care professionals.  Includes instruction in applied anatomy and physiology, patient positioning, radiographic technique, radiation biology, safety and emergency procedures, equipment operation and maintenance, quality assurance, patient education, and medical imaging/radiologic services management.","",="51.0911","No substantive changes","",""
"","Radiologist Assistant. A program that prepares individuals, under the supervision of a physician, to perform patient assessment, patient management, selected imaging procedures and to make initial observations of diagnostic images. Includes instruction in radiologic procedures and techniques, cross sectional anatomy, pharmacology, pathophysiology, patient assessment, patient care and management, and radiation biology.","",="51.0814","New","",""
"","Railroad and Railway Transportation. A program that prepares individuals to apply technical knowledge and skills to the operation of railroads and other aspects of the railway industry, including railroad and railyard service. Includes instruction in railway culture, operating skills, General Code of Operation rules, conductor service, signal systems, switching, transportation of hazardous materials, safety, and railway telecommunications systems.","",="49.0208","New","",""
"","Range Science and Management. A program that focuses on the scientific study of rangelands, arid regions, grasslands, and other areas of low productivity, as well as the principles of managing such resources for maximum benefit and environmental balance.  Includes instruction in livestock management, wildlife biology, plant sciences, ecology, soil science, and hydrology.","",="01.1106","No substantive changes","",""
"","Reading Teacher Education. A program that prepares individuals to diagnose reading difficulties and to teach reading programs at various educational levels.","",="13.1315","No substantive changes","",""
"","Reading. A program that focuses on the activity of reading for pleasure, either alone or as part of a group experience. This CIP code is not valid for IPEDS reporting.","",="36.0116","No substantive changes","",""
"","Real Estate Development. Instructional content is defined in code 04.1001.","",="04.10","New","",""
"","Real Estate Development. A program that prepares individuals to create and redevelop housing, offices, retail centers, and industrial sites.  Includes instruction in architectural design and construction, historic preservation, landscape architecture, urban planning and design, business, real estate and land use law, public policy, and engineering.","",="04.1001","New","",""
"","Real Estate. Instructional content is defined in code 52.1501.","",="52.15","No substantive changes","",""
"","Real Estate. A program that prepares individuals to develop, buy, sell, appraise, and manage real estate. Includes instruction in land use development policy, real estate law, real estate marketing procedures, agency management, brokerage, property inspection and appraisal, real estate investing, leased and rental properties, commercial real estate, and property management.","",="52.1501","No substantive changes","",""
"","Receptionist. A program that prepares individuals to perform frontline public relations duties for a business, organization, or answering service.  Includes instruction in telephone answering techniques, responding to information requests, keeping caller and/or visitor records, placing business calls, operating telephone switchboards and/or other communications equipment, relaying incoming and interoffice calls, schedule maintenance, and public relations skills.","",="52.0406","No substantive changes","",""
"","Recording Arts Technology/Technician. A program that prepares individuals to apply technical knowledge and skills to the production of sound recordings as finished products or as components of film/video, broadcast, live, or mixed media productions.  Includes instruction in sound equipment operation and maintenance; music, dialogue, and sound effects recording; sound track editing; dubbing and mixing; sound engineering; tape, disk, and CD production; digital recording and transmission; amplification and modulation; and working with producers, editors, directors, artists, and production managers.","",="10.0203","No substantive changes","",""
"","Recreation Vehicle (RV) Service Technician. A program that prepares individuals to apply technical knowledge and skills to build, test, inspect, repair, service and maintain recreational vehicles, systems, and interior and exterior components. Includes instruction in brake, hydraulic, and towing systems; electrical systems; propane systems and propane and electric appliances; carpentry; plumbing; welding; and structural frames.","",="47.0618","New","",""
"","Regional Studies (U.S., Canadian, Foreign) A program that focuses on the defined geographic subregions and subcultures within modern and historical countries and societies. Includes such topics as Acadian Studies, French Canadian and Quebec Studies, Southern (U.S.) Studies, Appalachian (U.S.) Studies, New England Studies, Southwestern Studies, Northern Studies, and others.","",="05.0122","No substantive changes","",""
"","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing, Other. Any instructional program in registered nursing, nursing administration, nursing research, and clinical nursing not listed above.","",="51.3899","New","",""
"","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing. Instructional content for this group of programs is defined in codes 51.3801 - 51.3899.","",="51.38","New","",""
"","Regular/General High School/Secondary Diploma Program. An instructional program that defines the prescribed minimum requirements specified by a state, province, or other jurisdiction for completion of, and graduation from an undifferentiated regular secondary school program representing 12 academic years of schooling intended for school-age students. This CIP code is not valid for IPEDS reporting.","",="53.0101","No substantive changes","",""
"","Rehabilitation Aide. A program that prepares individuals to assist in rehabilitation services under the supervision of physical therapists, occupational therapists, speech-language pathologists, and other therapeutic professionals, and to perform routine functions in support of rehabilitation. Includes instruction in roles and responsibilities of rehabilitation providers, basic function of the human body, disabling conditions, therapeutic skills, client management, and communication skills.","",="51.2604","New","",""
"","Rehabilitation and Therapeutic Professions, Other. Any instructional program in rehabilitation and therapeutic professions not listed above.","",="51.2399","No substantive changes","",""
"","Rehabilitation and Therapeutic Professions. Instructional content for this group of programs is defined in codes 51.2301 - 51.2399.","",="51.23","No substantive changes","",""
"","Rehabilitation Science. A program that focuses on human function, disability, and rehabilitation from the perspectives of the health sciences, social sciences, psychology, engineering, and related fields. Includes instruction in psychological, social, and cultural aspects of disability and rehabilitation; sensory and motor function and dysfunction; biomechanics and kinesiology; assistive technology; rehabilitation instrumentation and methodology; statistics; and health and rehabilitation policy.","",="51.2314","New","",""
"","Reiki. A program that prepares individuals to promote physical, emotional, and spiritual balance and healing through the manipulation of the body's energy field to increase healing energy.  Includes instruction in the history and philosophy of Usui Reiki, attunement, empowerment, self-treatment, direct and distance healing techniques, healing symbols, aura clearing, Reiki meditation, practice management, and related Reiki systems such as Lightarian, Urevia, and Magnified Healing.","",="51.3704","No substantive changes","",""
"","Religion/Religious Studies, Other. Any instructional program in religion/religious studies not listed above.","",="38.0299","No substantive changes","",""
"","Religion/Religious Studies. Instructional content for this group of programs is defined in codes 38.0201 - 38.0299.","",="38.02","No substantive changes","",""
"","Religion/Religious Studies. A program that focuses on the nature of religious belief and specific religious and quasi-religious systems.  Includes instruction in phenomenology; the sociology, psychology, philosophy, anthropology, literature and art of religion; mythology; scriptural and textual studies; religious history and politics; and specific studies of particular faith communities and their behavior.","",="38.0201","No substantive changes","",""
"","Religious Education. Instructional content is defined in code 39.0401.","",="39.04","No substantive changes","",""
"","Religious Education. A program that focuses on the theory and practice of providing educational services to members of faith communities, within the context of a particular religion, and that prepares individuals to serve as religious educators.  Includes instruction in planning and teaching lessons, organizing and supervising instructional activities, designing and developing instructional materials, and administering religious education programs and facilities.","",="39.0401","No substantive changes","",""
"","Religious/Sacred Music. Instructional content is defined in code 39.0501.","",="39.05","No substantive changes","",""
"","Religious/Sacred Music. A program that focuses on the history, theory, composition, and performance of music for religious or sacred purposes, and that prepares individuals for religious musical vocations such as choir directors, cantors, organists, and chanters.","",="39.0501","No substantive changes","",""
"","Renal/Dialysis Technologist/Technician. A program that prepares individuals to administer hemodialysis treatments to patients with renal failure under the supervision of a nurse or physician.  Includes instruction in basic anatomy and physiology, dialysis prescription interpretation, dialysite preparation, extracorporeal circuit and dialyzer set-up and maintenance, equipment monitoring, patient preparation, taking vital signs, documentation and communication, venipuncture and local anesthesia administration, emergency intervention, safety and sanitation, and professional standards and ethics.","",="51.1011","No substantive changes","",""
"","Reproductive Biology. A program that focuses on the scientific study of reproductive processes and biogenesis in animals and human beings.  Includes instruction in reproductive ecology and behavior, reproductive system physiology, endocrinology, developmental biology, neuroendocrinology, evolution and types of reproductive systems, reproductive genetics, physiopathology of reproductive processes, and applications of molecular biology and biophysics to the study of reproductive physiology.","",="26.0905","No substantive changes","",""
"","Reproductive Endocrinology/Infertility Residency Program. A residency training program that prepares physicians to manage complex problems relating to reproductive endocrinology and infertility. Requires prior completion of a program in obstetrics and gynecology. This CIP code is not valid for IPEDS reporting.","",="60.0573","New","",""
"","Research and Development Management. A program that prepares individuals to manage projects, programs and organizations involving basic and applied research, or specialized technology applications, in the public or private sectors.  Includes instruction in all aspects of business management applied to the leadership and control of scientific, clinical, engineering and social scientific enterprises; the management of related operational, security and logistical issues; and technical competence in one or more research disciplines.","",="52.0210","New","",""
"","Research and Experimental Psychology, Other. Any instructional program in research and experimental psychology not listed above.","",="42.2799","New","",""
"","Research and Experimental Psychology. Instructional content for this group of programs is defined in codes 42.2701 - 42.2799.","",="42.27","New","",""
"","Research Methodology and Quantitative Methods. A program that focuses on the design of research studies, measurement of variables, data analysis, and formulation of models.  Includes instruction in experimental, quasi-experimental, and case study methods; historical research; participant observation; questionnaire design; sampling theory; and statistical methods.","",="45.0102","New","",""
"","RESERVE OFFICER TRAINING CORPS (JROTC, ROTC). Instructional programs that provide professional education and training of military officers in leadership, military science and operational studies, security policy and strategy, military economics and management, and pre-officer training. These CIP codes are not valid for IPEDS reporting.","",="28","No substantive changes","",""
"","Residency Programs. Programs that prepare medical doctors (MD), osteopaths (DO), dentists (DDS, DMD), veterinarians (DVM), and podiatrists (DPM) for certification as practitioners of recognized specialties in their respective professions. These programs are approved and accredited by designated professional associations and require from one to five years to complete, depending on the program. Residency programs that also result in an academic degree completion, such as an MS or PhD, should be reported under one of the clinical sciences codes located in Series 26, 51.05, or 51.25, rather than in a residency code located in Series 60. These CIP codes are not valid for IPEDS reporting.","",="60","No substantive changes","",""
"","Resort Management. A program that prepares individuals to plan, manage, and market comprehensive vacation facilities and services and related products.  Includes instruction in hospitality administration, hotel/motel management, restaurant and food services management, facilities planning, leisure studies, recreation administration, marketing, recreation equipment and grounds operations and maintenance, business finance, insurance and taxation, event management and guest services, personnel management, travel and logistics management, safety and health services, professional standards and ethics, and applications to specific vacation types and locations.","",="52.0906","No substantive changes","",""
"","Respiratory Care Therapy/Therapist. A program that prepares individuals, under the supervision of physicians, to assist in developing respiratory care plans, administer respiratory care procedures, supervise personnel and equipment operation, maintain records, and consult with other health care team members.  Includes instruction in the applied basic biomedical sciences; anatomy, physiology, and pathology of the respiratory system; clinical medicine; therapeutic procedures; clinical expressions; data collection and record-keeping; patient communication; equipment operation and maintenance; personnel supervision; and procedures for special population groups.","",="51.0908","No substantive changes","",""
"","Respiratory Therapy Technician/Assistant. A program that prepares individuals to administer general respiratory care procedures under the supervision of respiratory therapists in a variety of clinical settings.  Includes instruction in patient data collection and monitoring, airway management, installation of nebulizers and other respiratory assistance devices, application and monitoring of breathing gases, equipment operation and maintenance, safety and sanitation procedures, and applicable regulations.","",="51.0812","No substantive changes","",""
"","Restaurant, Culinary, and Catering Management/Manager. A program that prepares individuals to plan, supervise, and manage food and beverage preparation and service operations, restaurant facilities, and catering services.  Includes instruction in food/beverage industry operations, cost control, purchasing and storage, business administration, logistics, personnel management, culinary arts, restaurant and menu planning, executive chef functions, event planning and management, health and safety, insurance, and applicable law and regulations.","",="12.0504","No substantive changes","",""
"","Restaurant/Food Services Management. A program that prepares individuals to plan, manage, and market restaurants, food services in hospitality establishments, food service chains and franchise networks, and restaurant supply operations.  Includes instruction in hospitality administration, food services management, wholesale logistics and distribution, franchise operations, business networking, personnel management, culinary arts, business planning and capitalization, food industry operations, marketing and retailing, business law and regulations, finance, and professional standards and ethics.","",="52.0905","No substantive changes","",""
"","Retail Management. A program that prepares individuals to manage the operations of a wide variety of retail businesses, including department stores; independent and chain stores; fashion, food and beverage, and pharmaceutical establishments; and online retail businesses. Includes instruction in retail management, merchandise management, customer service management, marketing, organizational behavior, accounting, finance, business law, and personnel management.","",="52.0212","New","",""
"","Retailing and Retail Operations. A program that prepares individuals to perform operations associated with retail sales in a variety of settings.  Includes instruction in over-the-counter and other direct sales operations in business settings, basic bookkeeping principles, customer service, team/staff leadership and supervision, floor management, and applicable technical skills.","",="52.1803","No substantive changes","",""
"","Rhetoric and Composition. A program that focuses on the humanistic and scientific study of rhetoric, composition, literacy, and language/linguistic theories and their practical and pedagogical applications. Includes instruction in historical and contemporary rhetoric/composition theories; composition and criticism of written, visual, and mixed-media texts; analysis of literacy practices in cultural and cross-cultural contexts; and writing program administration.","",="23.1304","New","",""
"","Rhetoric and Composition/Writing Studies, Other. Any instructional program in rhetoric and composition/writing studies not listed above.","",="23.1399","New","",""
"","Rhetoric and Composition/Writing Studies. Instructional content for this group of programs is defined in codes 23.1301 - 23.1399.","",="23.13","New","",""
"","Rheumatology. A residency training program that prepares physicians in the diagnosis and treatment of patients with acute and chronic rheumatic diseases, diffuse connective tissue diseases, systemic and metabolic diseases and infections and complications following surgery.  Requires prior completion of a program in internal medicine. This CIP code is not valid for IPEDS reporting.","",="60.0260","Moved from","",""
"","Rheumatology. A residency training program that prepares physicians in the diagnosis and treatment of patients with acute and chronic rheumatic diseases, diffuse connective tissue diseases, systemic and metabolic diseases and infections and complications following surgery.  Requires prior completion of a program in internal medicine. This CIP code is not valid for IPEDS reporting.","",="60.0574","Moved to","",""
"","Robotics Technology/Technician. A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing and using robots.  Includes instruction in the principles of robotics, design and operational testing, system maintenance and repair procedures, robot computer systems and control language, specific system types and applications to specific industrial tasks, and report preparation.","",="15.0405","No substantive changes","",""
"","Romance Languages, Literatures, and Linguistics, General. A general program that focuses on one or more of the Romance languages of Western, Central, and Southern Europe.  Includes instruction in philology; linguistics; dialects and pidgins; literature; and applications to business, science/technology, and other settings.","",="16.0900","No substantive changes","",""
"","Romance Languages, Literatures, and Linguistics, Other. Any instructional program in Romance languages, literatures, and linguistics not listed above.","",="16.0999","No substantive changes","",""
"","Romance Languages, Literatures, and Linguistics. Instructional content for this group of programs is defined in codes 16.0900 - 16.0999.","",="16.09","No substantive changes","",""
"","Romanian Language and Literature. A program that focuses on the Romanian language and related dialects. Includes instruction in philology; dialects; and applications in business, science/technology, and other settings.","",="16.0906","No substantive changes","",""
"","Roofer. A program that prepares individuals to apply technical knowledge and skills to prepare, install, and maintain exterior roofing materials and roofs.  Includes instruction in building materials, flashing, lag bolts, site safety, equipment operation and maintenance, layering, site preparation, basic internal structural design, finishing, waterproofing, and applicable codes and standards.","",="46.0410","No substantive changes","",""
"","Rural Sociology. Instructional content is defined in code 45.1401.","",="45.14","New","",""
"","Rural Sociology. A program that focuses on the structure and function of rural societies. Includes instruction in sociological theory, research methods, statistics, sociology of agriculture, community development, social and economic development, demography, rural poverty, gender roles in rural societies, and environmental sociology.","",="45.1401","New","",""
"","Russian Language and Literature. A program that focuses on the Russian language. Includes instruction in philology; dialects; literature; and applications to business, science/technology, and other settings.","",="16.0402","No substantive changes","",""
"","Russian Studies. A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of the Russian Federation and its Soviet, Czarist, and medieval predecessors and related borderlands.","",="05.0110","No substantive changes","",""
"","Sales and Marketing Operations/Marketing and Distribution   Teacher Education. A program that prepares individuals to teach vocational sales and marketing operations/marketing and distributive education programs at various educational levels.","",="13.1310","No substantive changes","",""
"","Sales, Distribution, and Marketing Operations, General. A program that focuses on the general process and techniques of direct wholesale and retail buying and selling operations and introduces individuals to related careers.  Includes instruction in the principles of entrepreneurial economics, basic sales skills, the distribution channels for goods and services, and supervised practical application experiences.","",="52.1801","No substantive changes","",""
"","Salon/Beauty Salon Management/Manager. A program that prepares cosmetologists, hairstylists, and other personal grooming specialists to manage beauty parlors, shops, and full-service or specialized salons and to prepare for licensure as professional salon owners and operators.  Includes instruction in cosmetic services marketing and retailing; advertising and promotion; salon management; the cosmetic and salon supply industries; hiring, supervision, and labor relations; applicable business and professional laws and regulations; professional standards and image; and customer service.","",="12.0412","No substantive changes","",""
"","Sanskrit and Classical Indian Languages, Literatures, and Linguistics. A program that focuses on Sanskrit and related ancient and classical Indo-Aryan languages.  Includes instruction in Vedic and Classical Sanskrit, Pali and other Prakrits, and the historical development of Indo-Aryan languages and their relation to Indo-European languages such as Greek, Latin and the Baltic languages.","",="16.0702","No substantive changes","",""
"","Scandinavian Languages, Literatures, and Linguistics. A program that focuses on one or more of the languages, literatures, and linguistics of the peoples of Scandinavia and associated Northern European island groups.  Programs may involve multiple languages and language families, not be specific as to the name of the language(s) studied, or be otherwise undifferentiated.","",="16.0502","No substantive changes","",""
"","Scandinavian Studies. A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of Scandinavia, defined as Northern Europe including Denmark, Finland, Iceland, Norway, Sweden, related island groups (including Greenland), and borderlands.","",="05.0111","No substantive changes","",""
"","School Librarian/School Library Media Specialist. A program that prepares individuals to serve as librarians and media specialists in elementary and secondary schools as well as special instructional centers.","",="13.1334","No substantive changes","",""
"","School Psychology. A  program that prepares individuals to apply clinical and counseling psychology principles to the diagnosis and treatment of student behavioral problems.  Includes instruction in child and/or adolescent development; learning theory; testing, observation and other procedures for assessing educational, personality, intelligence and motor skill development; therapeutic intervention strategies for students and families; identification and classification of disabilities and disorders affecting learning; school psychological services planning; supervised counseling practice; ethical standards; and applicable regulations.","",="42.1701","Moved from","",""
"","School Psychology.","",="42.17","Deleted","",""
"","School Psychology. A  program that prepares individuals to apply clinical and counseling psychology principles to the diagnosis and treatment of student behavioral problems.  Includes instruction in child and/or adolescent development; learning theory; testing, observation and other procedures for assessing educational, personality, intelligence and motor skill development; therapeutic intervention strategies for students and families; identification and classification of disabilities and disorders affecting learning; school psychological services planning; supervised counseling practice; ethical standards; and applicable regulations.","",="42.2805","Moved to","",""
"","Science Teacher Education/General Science Teacher Education. A program that prepares individuals to teach general science programs, or a combination of the biological and physical science subject matter areas, at various educational levels.","",="13.1316","No substantive changes","",""
"","Science Technologies/Technicians, General. Instructional content is defined in code 41.0000.","",="41.00","New","",""
"","Science Technologies/Technicians, General. A general program that prepares individuals to apply scientific principles and technical skills in support of scientific research and development. Includes instruction in standard laboratory practices and procedures; techniques for analysis, testing and inspection; laboratory instrumentation and equipment operation and maintenance; laboratory and materials handling safety; and computer applications.","",="41.0000","New","",""
"","Science Technologies/Technicians, Other. Instructional content is defined in code 41.9999.","",="41.99","No substantive changes","",""
"","Science Technologies/Technicians, Other. Any instructional program in science technologies not listed above.","",="41.9999","No substantive changes","",""
"","SCIENCE TECHNOLOGIES/TECHNICIANS. Instructional programs that prepare individuals to apply scientific principles and technical skills in support of scientific research and development.","",="41","No substantive changes","",""
"","Science, Technology and Society. Instructional content is defined in code 30.1501.","",="30.15","No substantive changes","",""
"","Science, Technology and Society. A program that focuses on the contemporary social and public policy ramifications of science and technology, the interrelationship of science and engineering with the public policy process, and the social and ethical dimensions of scientific and technological enterprises.","",="30.1501","No substantive changes","",""
"","Sculpture. A program that prepares individuals creatively and technically to express emotions, ideas, or inner visions by creating three-dimensional art works.  Includes instruction in the analysis of form in space; round and relief concepts; sculptural composition; modern and experimental methods; different media such as clay, plaster, wood, stone, and metal; techniques such as carving, molding, welding, casting, and modeling; and personal style development.","",="50.0709","No substantive changes","",""
"","Second Language Learning. A program that focuses on the development of proficiency in reading, writing, and speaking a language or languages, other than the mother tongue, that are needed to perform day-to-day tasks.  Includes instruction in the use of basic communication skills to develop and transmit ideas and thoughts. This CIP code is not valid for IPEDS reporting.","",="32.0109","No substantive changes","",""
"","Secondary Education and Teaching. A program that prepares individuals to teach students in the secondary grades, which may include grades seven through twelve, depending on the school system or state regulations.  May include preparation to teach a comprehensive curriculum or specific subject matter.","",="13.1205","No substantive changes","",""
"","Secondary School Administration/Principalship. A program that focuses on educational administration at the junior high, secondary, or senior high school (7-12) levels, and prepares individuals to serve as principals and masters of secondary schools.  Includes instruction in secondary school education, program and facilities planning, budgeting and administration, public relations, human resources management, adolescent growth and development, counseling skills, applicable law and regulations, school safety, policy studies, and professional standards and ethics.","",="13.0409","No substantive changes","",""
"","Securities Services Administration/Management. A program that prepares individuals to plan, manage, and supervise services providing private security protection for people and property and related investigative and consulting functions.  Includes instruction in security and loss prevention services, private security and investigation techniques, security technologies, personnel management, business operations, marketing, applicable law and regulations, and client relations.","",="43.0112","No substantive changes","",""
"","Security and Loss Prevention Services. A program that prepares individuals to perform routine inspection, patrol and crime prevention services for private clients.  Includes instruction in the provision of personal protection as well as property security.","",="43.0109","No substantive changes","",""
"","Security and Protective Services, Other. Instructional content is defined in code 43.9999.","",="43.99","No substantive changes","",""
"","Security and Protective Services, Other. Any instructional program in homeland security, law enforcement, firefighting, and related protective services not listed above.","",="43.9999","No substantive changes","",""
"","SECURITY AND PROTECTIVE SERVICES. Instructional programs that focus on the principles and procedures for providing homeland security, police, fire, and other safety services and managing penal institutions. Note: this series is titled "Security and Protective Services" in the Canadian CIP.","",="43","No substantive changes","",""
"","Security Policy and Strategy. Instructional content for this group of programs is defined in codes 28.0601 - 28.0699. These CIP codes are not valid for IPEDS reporting.","",="28.06","New","",""
"","Security System Installation, Repair, and Inspection Technology/Technician. A program that prepares individuals to apply technical knowledge and skills to install and repair household, business, and industrial security alarms, sensors, video and sound recording devices, identification systems, protective barriers, and related technologies.","",="47.0110","No substantive changes","",""
"","Self-Awareness and Personal Assessment. A program that focuses on the knowledge and skills useful in becoming aware of one's feelings, using methods of assessing one's personal attributes, and being aware of how one is perceived by others. This CIP code is not valid for IPEDS reporting.","",="37.0101","No substantive changes","",""
"","Self-Esteem and Values Clarification. A program that focuses on the development of personal philosophies and ideas of positive self-concept and self-worth, and applying these knowledge and skills in everyday circumstances. This CIP code is not valid for IPEDS reporting.","",="37.0104","No substantive changes","",""
"","Selling Skills and Sales Operations. A program that prepares individuals to possess the skills associated with direct promotion of products and services to potential customers and to function as independent sales representatives and managers.  Includes instruction in consumer psychology, image projection, public speaking and interpersonal communications, sales organization and operations, customer relations, professional standards and ethics, and applicable technical skills.","",="52.1804","No substantive changes","",""
"","Semiconductor Manufacturing Technology. A program that prepares individuals to apply basic engineering principles and technical skills to operate and monitor equipment for the fabrication of semiconductors or microchips from silicon wafers, and to troubleshoot, maintain, and repair the specialized equipment used in this process. Includes instruction in AC and DC circuits, digital fundamentals, solid state devices, manufacturing processes, vacuum principles and technology, industrial electronics, quality assurance, and semiconductor manufacturing technology.","",="15.0616","New","",""
"","Semitic Languages, Literatures, and Linguistics, General. A general program that focuses on one or more of the Middle/Near Eastern and Semitic languages of the ancient and modern Middle/Near East, Western Asia, North Africa, and Europe. Includes instruction in philology; linguistics; dialects and pidgins; literature; and applications to business, science/technology, and other settings.","",="16.1100","No substantive changes","",""
"","Serbian, Croatian, and Serbo-Croatian Languages and Literatures. A program that focuses on the Bosnian, Serbian and/or Croatian languages. Includes instruction in philology; dialects; and applications to business, science/technology, and other settings.","",="16.0408","No substantive changes","",""
"","Sheet Metal Technology/Sheetworking. A program that prepares individuals to apply technical knowledge and skills to form, shape, bend and fold extruded metals, including the creation of new products, using hand tools and machines such as cornice brakes, forming rolls, and squaring shears.","",="48.0506","No substantive changes","",""
